"DOI","Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Citations - CrossRef","Citations - PubMed Central","Citations - Scopus"
"10.1371/journal.pbio.0000018",10/13/03,2003,"PLoS Biology","non RA","Digital Evolution",4,0,6
"10.1371/journal.pbio.0000019",09/15/03,2003,"PLoS Biology","RA","From Gene Trees to Organismal Phylogeny in Prokaryotes:The Case of the ?-Proteobacteria",28,45,143
"10.1371/journal.pbio.0000020",10/13/03,2003,"PLoS Biology","RA","Candidate Gene Association Study in Type 2 Diabetes Indicates a Role for Genes Involved in ?-Cell Function as Well as Insulin Action",45,15,119
"10.1371/journal.pbio.0000021",10/13/03,2003,"PLoS Biology","RA","Developmental Origin and Evolution of Bacteriocytes in the Aphid?Buchnera Symbiosis",12,7,33
"10.1371/journal.pbio.0000022",11/17/03,2003,"PLoS Biology","non RA","Beyond the Fire-Hazard Mentality of Medicine: The Ecology of Infectious Diseases",0,0,1
"10.1371/journal.pbio.0000023",09/15/03,2003,"PLoS Biology","non RA","Biological Clock Depends on Many Parts Working Together",0,0,0
"10.1371/journal.pbio.0000024",10/13/03,2003,"PLoS Biology","non RA","Developmental Origins and Evolution of Buchnera Host Cells",0,0,0
"10.1371/journal.pbio.0000025",11/17/03,2003,"PLoS Biology","RA","A Gain-Field Encoding of Limb Position and Velocity in the Internal Model of Arm Dynamics",8,4,30
"10.1371/journal.pbio.0000026",10/13/03,2003,"PLoS Biology","non RA","Supersensitive Worms Reveal New Gene Functions",0,0,0
"10.1371/journal.pbio.0000027",10/13/03,2003,"PLoS Biology","non RA","What Controls Variation in Human Skin Color?",16,4,27
"10.1371/journal.pbio.0000028",11/17/03,2003,"PLoS Biology","RA","Partially Phosphorylated Pho4 Activates Transcription of a Subset of Phosphate-Responsive Genes",11,12,26
"10.1371/journal.pbio.0000029",12/22/03,2003,"PLoS Biology","non RA","Structural Mechanism Shows How Transferrin Receptor Binds Multiple Ligands and Sheds Light on a Hereditary Iron Disease",0,0,0
"10.1371/journal.pbio.0000030",10/13/03,2003,"PLoS Biology","non RA","Large-Scale Association Study Confirms Genetic Complexity Underlying Type 2 Diabetes",0,0,0
"10.1371/journal.pbio.0000031",09/15/03,2003,"PLoS Biology","non RA","New Genomic Approach Predicts True Evolutionary History of Bacterial Genomes",0,0,0
"10.1371/journal.pbio.0000032",10/13/03,2003,"PLoS Biology","non RA","Mathematical Modeling Predicts How Proteins Affect Cellular Communication",0,0,0
"10.1371/journal.pbio.0000033",11/17/03,2003,"PLoS Biology","RA","Biochemical Characterization of DNA Damage Checkpoint Complexes: Clamp Loader and Clamp Complexes with Specificity for 5? Recessed DNA",23,32,111
"10.1371/journal.pbio.0000034",10/13/03,2003,"PLoS Biology","non RA","PLoS Biology?We're Open",0,2,3
"10.1371/journal.pbio.0000035",11/17/03,2003,"PLoS Biology","RA","The Drosophila Sterile-20 Kinase Slik Controls Cell Proliferation and Apoptosis during Imaginal Disc Development",4,3,14
"10.1371/journal.pbio.0000036",10/13/03,2003,"PLoS Biology","non RA","Why PLoS Became a Publisher",14,7,19
"10.1371/journal.pbio.0000037",11/17/03,2003,"PLoS Biology","non RA","Army Ants Trapped by Their Evolutionary History",0,0,0
"10.1371/journal.pbio.0000038",11/17/03,2003,"PLoS Biology","non RA","Patricia Goldman-Rakic",0,0,0
"10.1371/journal.pbio.0000039",11/17/03,2003,"PLoS Biology","non RA","Genomics Research and Malaria Control: Great Expectations",0,0,1
"10.1371/journal.pbio.0000040",11/17/03,2003,"PLoS Biology","non RA","A Field Trip to the Mesozoic",0,0,0
"10.1371/journal.pbio.0000041",11/17/03,2003,"PLoS Biology","RA","Embryonic Origins of a Motor System: Motor Dendrites Form a Myotopic Map in Drosophila",6,3,24
"10.1371/journal.pbio.0000042",10/13/03,2003,"PLoS Biology","RA","Learning to Control a Brain?Machine Interface for Reaching and Grasping by Primates",68,15,253
"10.1371/journal.pbio.0000043",11/17/03,2003,"PLoS Biology","non RA","slik Gene Controls Cell Growth and Survival",0,0,0
"10.1371/journal.pbio.0000044",11/17/03,2003,"PLoS Biology","non RA","Newly Sequenced Worm a Boon for Worm Biologists",0,0,0
"10.1371/journal.pbio.0000045",11/17/03,2003,"PLoS Biology","RA","The Genome Sequence of Caenorhabditis briggsae: A Platform for Comparative Genomics",65,134,314
"10.1371/journal.pbio.0000046",11/17/03,2003,"PLoS Biology","non RA","Biodiversity Conservation Demands Open Access",0,0,1
"10.1371/journal.pbio.0000047",11/17/03,2003,"PLoS Biology","non RA","A Single Protein in Yeast Can Fine-Tune an Environmental Response",0,0,0
"10.1371/journal.pbio.0000048",11/17/03,2003,"PLoS Biology","non RA","Tough Mining",0,5,11
"10.1371/journal.pbio.0000049",12/22/03,2003,"PLoS Biology","non RA","A Wingless Flight",0,0,0
"10.1371/journal.pbio.0000050",11/17/03,2003,"PLoS Biology","non RA","Current Approaches to the Study of Movement Control",0,0,1
"10.1371/journal.pbio.0000051",12/22/03,2003,"PLoS Biology","RA","Mechanism for Multiple Ligand Recognition by the Human Transferrin Receptor",7,6,36
"10.1371/journal.pbio.0000052",11/17/03,2003,"PLoS Biology","RA","Additive Effects of PDGF Receptor ? Signaling Pathways in Vascular Smooth Muscle Cell Development",5,5,27
"10.1371/journal.pbio.0000053",11/17/03,2003,"PLoS Biology","RA","T Cell Receptor-Independent Basal Signaling via Erk and Abl Kinases Suppresses RAG Gene Expression",12,10,35
"10.1371/journal.pbio.0000054",11/17/03,2003,"PLoS Biology","non RA","Novel ?Checkpoint? Mechanism Mediates DNA Damage Responses",0,0,0
"10.1371/journal.pbio.0000055",10/13/03,2003,"PLoS Biology","non RA","Retraining the Brain to Recover Movement",0,0,0
"10.1371/journal.pbio.0000056",11/17/03,2003,"PLoS Biology","non RA","Underlying Principles of Motor System Organization Revealed",0,0,0
"10.1371/journal.pbio.0000057",11/17/03,2003,"PLoS Biology","non RA","The What and Whys of DOIs",0,1,1
"10.1371/journal.pbio.0000058",11/17/03,2003,"PLoS Biology","non RA","Comparative Genomics",13,21,69
"10.1371/journal.pbio.0000059",10/27/03,2003,"PLoS Biology","RA","Pten Dose Dictates Cancer Progression in the Prostate",51,21,134
"10.1371/journal.pbio.0000060",10/13/03,2003,"PLoS Biology","RA","Identification of Drosophila MicroRNA Targets",92,71,266
"10.1371/journal.pbio.0000061",12/22/03,2003,"PLoS Biology","non RA","New Screen Identifies Elusive MicroRNA Targets",0,0,0
"10.1371/journal.pbio.0000062",11/17/03,2003,"PLoS Biology","non RA","Development of Vascular Smooth Muscle Cells Depends on Signaling Synergy",0,0,0
"10.1371/journal.pbio.0000063",11/17/03,2003,"PLoS Biology","non RA","Basal Signaling Suppresses RAG Genes during T Cell Development",0,0,0
"10.1371/journal.pbio.0000064",11/17/03,2003,"PLoS Biology","non RA","Computer Model Predicts How the Brain Controls Limb Dynamics",0,0,0
"10.1371/journal.pbio.0000065",12/22/03,2003,"PLoS Biology","RA","Detection and Characterizationof Cellular Immune Responses Using Peptide?MHC Microarrays",22,5,46
"10.1371/journal.pbio.0000066",12/22/03,2003,"PLoS Biology","non RA","The Virus That Changed My World",0,0,0
"10.1371/journal.pbio.0000067",12/22/03,2003,"PLoS Biology","RA","Distinct Mechanisms Determine Transposon Inheritance and Methylation via Small Interfering RNA and Histone Modification",60,44,148
"10.1371/journal.pbio.0000068",11/03/03,2003,"PLoS Biology","RA","GAD2 on Chromosome 10p12 Is a Candidate Gene for Human Obesity",24,7,65
"10.1371/journal.pbio.0000069",11/03/03,2003,"PLoS Biology","RA","Linkage of Osteoporosis to Chromosome 20p12 and Association to BMP2",49,12,99
"10.1371/journal.pbio.0000070",12/22/03,2003,"PLoS Biology","non RA","Dose of PTEN Gene Drives Progression of Prostate Cancer",0,0,1
"10.1371/journal.pbio.0000071",12/22/03,2003,"PLoS Biology","non RA","Research Advocacy: Why Every Scientist Should Participate",1,1,2
"10.1371/journal.pbio.0000072",12/22/03,2003,"PLoS Biology","RA","Architecture and Selectivity in Aquaporins: 2.5 ? X-Ray Structure of Aquaporin Z",17,13,64
"10.1371/journal.pbio.0000073",12/22/03,2003,"PLoS Biology","non RA","Rose-Tinted Ecology",0,0,0
"10.1371/journal.pbio.0000074",12/22/03,2003,"PLoS Biology","RA","Transcriptome Analysis of Mouse Stem Cells and Early Embryos",23,23,84
"10.1371/journal.pbio.0000075",12/22/03,2003,"PLoS Biology","non RA","Structure of Aquaporin Reveals Mechanism for Transport Selectivity",0,0,0
"10.1371/journal.pbio.0000076",12/22/03,2003,"PLoS Biology","non RA","New Microarray Detects Antigen-Specific T Cells and Immune Responses",0,0,0
"10.1371/journal.pbio.0000077",12/22/03,2003,"PLoS Biology","non RA","Economy of the Mind",0,0,1
"10.1371/journal.pbio.0000078",12/22/03,2003,"PLoS Biology","non RA","Antigen-Specific T Cells: Analyses of the Needles in the Haystack",1,1,5
"10.1371/journal.pbio.0000079",12/22/03,2003,"PLoS Biology","non RA","How Mammals Acquire and Distribute Iron Needed for Oxygen-Based Metabolism",0,2,7
"10.1371/journal.pbio.0000080",12/22/03,2003,"PLoS Biology","RA","Tre1, a G Protein-Coupled Receptor, Directs Transepithelial Migration of Drosophila Germ Cells",6,3,35
"10.1371/journal.pbio.0000081",12/22/03,2003,"PLoS Biology","non RA","GAD2 Identified as Candidate Gene for Obesity",0,0,0
"10.1371/journal.pbio.0000082",12/22/03,2003,"PLoS Biology","non RA","Human Epigenome Project?Up and Running",1,1,15
"10.1371/journal.pbio.0000083",12/22/03,2003,"PLoS Biology","RA","Inhibition of HIF2? Is Sufficient to Suppress pVHL-Defective Tumor Growth",40,26,132
"10.1371/journal.pbio.0000084",12/22/03,2003,"PLoS Biology","non RA","Distinct Mechanisms Control Transposon Inheritance through Overlapping Pathways",0,0,0
"10.1371/journal.pbio.0000085",12/22/03,2003,"PLoS Biology","non RA","Chromosome Locus and Candidate Gene for Osteoporosis Identified",0,0,0
"10.1371/journal.pbio.0000086",12/22/03,2003,"PLoS Biology","non RA","How Are the Sizes of Cells, Organs, and Bodies Controlled?",4,2,10
"10.1371/journal.pbio.0000087",12/22/03,2003,"PLoS Biology","non RA","Gene Expression Profile Created for Mouse Stem Cells and Developing Embryo",0,0,0
"10.1371/journal.pbio.0000088",12/22/03,2003,"PLoS Biology","non RA","Novel Receptor Guides Germ Cell Transepithelial Migration in Drosophila",0,0,0
"10.1371/journal.pbio.0000089",12/22/03,2003,"PLoS Biology","non RA","A Changing Landscape",0,0,0
"10.1371/journal.pbio.0000090",12/22/03,2003,"PLoS Biology","non RA","Inhibition of HIF2? Protein Suppresses pVHL-Driven Tumor Growth",0,0,0
"10.1371/journal.pbio.0000091",12/22/03,2003,"PLoS Biology","non RA","Correction: What Controls Variation in Human Skin Color?",0,0,0
"10.1371/journal.pbio.0000092",12/22/03,2003,"PLoS Biology","RA","Correction: Candidate Gene Association Study in Type 2 Diabetes Indicates a Role for Genes Involved in ?-Cell Function as Well as Insulin Action",0,0,0
"10.1371/journal.pbio.0020001",01/20/04,2004,"PLoS Biology","non RA","Science on the Rise in Developing Countries",20,0,20
"10.1371/journal.pbio.0020002",11/24/03,2003,"PLoS Biology","RA","JAMM: A Metalloprotease-Like Zinc Site in the Proteasome and Signalosome",13,12,52
"10.1371/journal.pbio.0020003",01/20/04,2004,"PLoS Biology","RA","Dorsoventral Patterning of the Mouse Coat by Tbx15",15,3,22
"10.1371/journal.pbio.0020004",01/20/04,2004,"PLoS Biology","RA","Cell-Passage Activity Is Required for the Malarial Parasite to Cross the Liver Sinusoidal Cell Layer",23,13,67
"10.1371/journal.pbio.0020005",01/20/04,2004,"PLoS Biology","RA","Loss of Olfactory Receptor Genes Coincides with the Acquisition of Full Trichromatic Vision in Primates",41,21,86
"10.1371/journal.pbio.0020006",01/20/04,2004,"PLoS Biology","RA","HIV-1 Nef Binds the DOCK2?ELMO1 Complex to Activate Rac and Inhibit Lymphocyte Chemotaxis",3,9,39
"10.1371/journal.pbio.0020007",01/13/04,2004,"PLoS Biology","RA","Gene Expression Signature of Fibroblast Serum Response Predicts Human Cancer Progression: Similarities between Tumors and Wounds",61,68,219
"10.1371/journal.pbio.0020008",01/20/04,2004,"PLoS Biology","RA","Contribution of Noncentrosomal Microtubules to Spindle Assembly in Drosophila Spermatocytes",6,6,27
"10.1371/journal.pbio.0020009",12/15/03,2003,"PLoS Biology","RA","Similarities and Differences in Genome-Wide Expression Data of Six Organisms",22,43,93
"10.1371/journal.pbio.0020010",01/20/04,2004,"PLoS Biology","non RA","Looking from the Past to the Future",0,0,0
"10.1371/journal.pbio.0020011",01/20/04,2004,"PLoS Biology","non RA","Science and Technology Communication for Development",0,0,0
"10.1371/journal.pbio.0020012",01/20/04,2004,"PLoS Biology","non RA","In Methuselah's Mould",0,0,0
"10.1371/journal.pbio.0020013",01/20/04,2004,"PLoS Biology","non RA","The Proteasome and the Delicate Balance between Destruction and Rescue",2,1,13
"10.1371/journal.pbio.0020014",01/20/04,2004,"PLoS Biology","RA","Protein Interaction Networks by Proteome Peptide Scanning",27,19,62
"10.1371/journal.pbio.0020015",12/15/03,2003,"PLoS Biology","RA","Multiple Apoptotic Caspase Cascades Are Required in Nonapoptotic Roles for Drosophila Spermatid Individualization",18,11,50
"10.1371/journal.pbio.0020016",01/20/04,2004,"PLoS Biology","non RA","A New Gene That Shapes Mouse Pigmentation Patterning",0,0,0
"10.1371/journal.pbio.0020017",11/24/03,2003,"PLoS Biology","non RA","Structure and Implications of JAMM, a Novel Metalloprotease",0,0,1
"10.1371/journal.pbio.0020018",12/15/03,2003,"PLoS Biology","non RA","A Truly Broad View of Gene Expression Spotlights Evolution and Diversity",0,0,0
"10.1371/journal.pbio.0020019",01/20/04,2004,"PLoS Biology","non RA","Channelling Evolution",1,1,3
"10.1371/journal.pbio.0020020",02/17/04,2004,"PLoS Biology","RA","Immune Activation and CD8+ T-Cell Differentiation towards Senescence in HIV-1 Infection",27,20,91
"10.1371/journal.pbio.0020021",01/20/04,2004,"PLoS Biology","RA","Role of Saccharomyces Single-Stranded DNA-Binding Protein RPA in the Strand Invasion Step of Double-Strand Break Repair",14,10,41
"10.1371/journal.pbio.0020022",02/17/04,2004,"PLoS Biology","RA","pRb Inactivation in Mammary Cells Reveals Common Mechanisms for Tumor Initiation and Progression in Divergent Epithelia",6,5,18
"10.1371/journal.pbio.0020023",01/20/04,2004,"PLoS Biology","non RA","Mechanism Suggests How HIV Protein Disrupts Immune Cell Migration",2,0,0
"10.1371/journal.pbio.0020024",01/20/04,2004,"PLoS Biology","RA","Long-Lasting Novelty-Induced Neuronal Reverberation during Slow-Wave Sleep in Multiple Forebrain Areas",16,9,69
"10.1371/journal.pbio.0020025",01/20/04,2004,"PLoS Biology","non RA","PLoS Biology in Action",0,1,2
"10.1371/journal.pbio.0020026",01/20/04,2004,"PLoS Biology","non RA","Visualizing Noncentrosomal Microtubules during Spindle Assembly",0,0,0
"10.1371/journal.pbio.0020027",02/17/04,2004,"PLoS Biology","non RA","Bridging the Science?Policy Divide",2,1,3
"10.1371/journal.pbio.0020028",01/20/04,2004,"PLoS Biology","non RA","RNAi Therapeutics: How Likely, How Soon?",7,2,14
"10.1371/journal.pbio.0020029",02/17/04,2004,"PLoS Biology","RA","Functional Bias and Spatial Organization of Genes in Mutational Hot and Cold Regions in the Human Genome",9,13,27
"10.1371/journal.pbio.0020030",02/17/04,2004,"PLoS Biology","RA","Lefty Blocks a Subset of TGF? Signals by Antagonizing EGF-CFC Coreceptors",18,3,50
"10.1371/journal.pbio.0020031",02/17/04,2004,"PLoS Biology","RA","Engineered Biosynthesis of Regioselectively Modified Aromatic Polyketides Using Bimodular Polyketide Synthases",11,3,17
"10.1371/journal.pbio.0020032",01/20/04,2004,"PLoS Biology","non RA","Protein Essential for Malarial Parasite to Reach and Infect Liver Cells",2,0,0
"10.1371/journal.pbio.0020033",01/20/04,2004,"PLoS Biology","non RA","Evolution of Primate Sense of Smell and Full Trichromatic Color Vision",0,0,0
"10.1371/journal.pbio.0020034",12/15/03,2003,"PLoS Biology","non RA","?Suicide? Proteins Contribute to Sperm Creation",0,0,0
"10.1371/journal.pbio.0020035",02/17/04,2004,"PLoS Biology","non RA","Cracking the Polyketide Code",2,2,5
"10.1371/journal.pbio.0020036",02/17/04,2004,"PLoS Biology","RA","Treatment of Terminal Peritoneal Carcinomatosis by a Transducible p53-Activating Peptide",22,3,54
"10.1371/journal.pbio.0020037",01/20/04,2004,"PLoS Biology","non RA","Brain Activity during Slow-Wave Sleep Points to Mechanism for Memory",0,0,0
"10.1371/journal.pbio.0020038",01/20/04,2004,"PLoS Biology","non RA","Researchers Add to Proteomics Toolbox",0,0,0
"10.1371/journal.pbio.0020039",01/13/04,2004,"PLoS Biology","non RA","Gene Expression Signature of a Fibroblast Serum Response Predicts Cancer Progression",0,0,0
"10.1371/journal.pbio.0020040",02/17/04,2004,"PLoS Biology","non RA","Tumour Suppressor Genes?One Hit Can Be Enough",3,0,6
"10.1371/journal.pbio.0020041",02/17/04,2004,"PLoS Biology","non RA","T-Cell Differentiation and Progression of HIV Infection",0,0,0
"10.1371/journal.pbio.0020042",03/16/04,2004,"PLoS Biology","non RA","Identifying Protein Function?A Call for Community Action",9,16,45
"10.1371/journal.pbio.0020043",03/16/04,2004,"PLoS Biology","non RA","The Strange Case of the Armored Scale Insect and Its Bacteriome",1,0,2
"10.1371/journal.pbio.0020044",02/17/04,2004,"PLoS Biology","RA","The Effect of Learning on the Function of Monkey Extrastriate Visual Cortex",8,1,46
"10.1371/journal.pbio.0020045",02/17/04,2004,"PLoS Biology","RA","Learning-Induced Improvement in Encoding and Decoding of Specific Movement Directions by Neurons in the Primary Motor Cortex",3,1,20
"10.1371/journal.pbio.0020046",02/17/04,2004,"PLoS Biology","non RA","What Causes Stuttering?",3,2,14
"10.1371/journal.pbio.0020047",02/17/04,2004,"PLoS Biology","non RA","Dissecting the Urge to Create",0,0,0
"10.1371/journal.pbio.0020048",02/17/04,2004,"PLoS Biology","non RA","Quality Information for Improved Health",3,0,0
"10.1371/journal.pbio.0020049",02/17/04,2004,"PLoS Biology","RA","Design and Diversity in Bacterial Chemotaxis: A Comparative Study in Escherichia coli and Bacillus subtilis",13,9,37
"10.1371/journal.pbio.0020050",03/16/04,2004,"PLoS Biology","RA","A Spontaneous, Recurrent Mutation in Divalent Metal Transporter-1 Exposes a Calcium Entry Pathway",5,4,25
"10.1371/journal.pbio.0020051",02/17/04,2004,"PLoS Biology","non RA","Mutation Rates and Gene Location: Some Like It Hot",0,0,0
"10.1371/journal.pbio.0020052",02/17/04,2004,"PLoS Biology","non RA","A New Trade Framework for Global Healthcare R&amp;D",10,3,16
"10.1371/journal.pbio.0020053",02/17/04,2004,"PLoS Biology","non RA","New Antibiotics?Resistance Is Futile",0,0,0
"10.1371/journal.pbio.0020054",02/17/04,2004,"PLoS Biology","non RA","World on Fire",0,0,0
"10.1371/journal.pbio.0020055",03/16/04,2004,"PLoS Biology","RA","Preferential Duplication of Conserved Proteins in Eukaryotic Genomes",10,16,52
"10.1371/journal.pbio.0020056",02/17/04,2004,"PLoS Biology","non RA","Engineering Bacteria to Make ?Unnatural? Natural Drugs",0,0,0
"10.1371/journal.pbio.0020057",03/16/04,2004,"PLoS Biology","RA","No Evidence of Neandertal mtDNA Contribution to Early Modern Humans",44,15,87
"10.1371/journal.pbio.0020058",02/17/04,2004,"PLoS Biology","non RA","Activating p53 in Cancer Cells with Protein Therapy Shows Preclinical Promise",0,0,0
"10.1371/journal.pbio.0020059",02/17/04,2004,"PLoS Biology","non RA","A New Breast Cancer Model",1,0,0
"10.1371/journal.pbio.0020060",02/17/04,2004,"PLoS Biology","non RA","When Monkeys Learn Directional Tasks, Neurons Learn Too",0,0,0
"10.1371/journal.pbio.0020061",02/17/04,2004,"PLoS Biology","non RA","Diverse Signals Establish the Left-Right Body Axis",0,0,0
"10.1371/journal.pbio.0020062",02/17/04,2004,"PLoS Biology","non RA","Learning to Discern Images Modifies Neural Activity",0,0,0
"10.1371/journal.pbio.0020063",02/17/04,2004,"PLoS Biology","non RA","PLoS Medicine",0,0,0
"10.1371/journal.pbio.0020064",03/16/04,2004,"PLoS Biology","non RA","Taste Perception: Cracking the Code",2,0,4
"10.1371/journal.pbio.0020065",03/16/04,2004,"PLoS Biology","RA","Interaction Networks in Yeast Define and Enumerate the Signaling Steps of the Vertebrate Aryl Hydrocarbon Receptor",4,1,13
"10.1371/journal.pbio.0020066",02/17/04,2004,"PLoS Biology","non RA","Comparing the Networks that Power Bacterial Chemotaxis",0,0,0
"10.1371/journal.pbio.0020067",03/16/04,2004,"PLoS Biology","non RA","The DNA Story, Part III",0,0,0
"10.1371/journal.pbio.0020068",03/16/04,2004,"PLoS Biology","non RA","Endosymbiosis: Lessons in Conflict Resolution",8,5,17
"10.1371/journal.pbio.0020069",03/16/04,2004,"PLoS Biology","RA","Phylogenomics of the Reproductive Parasite Wolbachia pipientis wMel: A Streamlined Genome Overrun by Mobile Genetic Elements",52,53,164
"10.1371/journal.pbio.0020070",03/16/04,2004,"PLoS Biology","non RA","A Single Mutation Transforms an Iron Transporter into an Ion Channel",0,0,0
"10.1371/journal.pbio.0020071",03/16/04,2004,"PLoS Biology","non RA","Evolution for the Next Generation",0,0,0
"10.1371/journal.pbio.0020072",03/16/04,2004,"PLoS Biology","non RA","NCEAS: Promoting Creative Collaborations",0,0,0
"10.1371/journal.pbio.0020073",03/16/04,2004,"PLoS Biology","non RA","Protein Nanomachines",1,0,0
"10.1371/journal.pbio.0020074",01/20/04,2004,"PLoS Biology","non RA","A DNA-Binding Protein Helps Repair Breaks in DNA Double Helix",12,0,0
"10.1371/journal.pbio.0020075",03/16/04,2004,"PLoS Biology","RA","Circulation and Chemotaxis of Fetal Hematopoietic Stem Cells",12,4,40
"10.1371/journal.pbio.0020076",03/16/04,2004,"PLoS Biology","non RA","Genome Sequence of the Intracellular Bacterium Wolbachia",1,0,1
"10.1371/journal.pbio.0020077",03/16/04,2004,"PLoS Biology","RA","Perceptual ?Read-Out? of Conjoined Direction and Disparity Maps in Extrastriate Area MT",6,3,17
"10.1371/journal.pbio.0020078",03/16/04,2004,"PLoS Biology","RA","N-Terminal Phosphorylation of the Dopamine Transporter Is Required for Amphetamine-Induced Efflux",20,5,57
"10.1371/journal.pbio.0020079",03/16/04,2004,"PLoS Biology","RA","Extensive Association of Functionally and Cytotopically Related mRNAs with Puf Family RNA-Binding Proteins in Yeast",37,42,133
"10.1371/journal.pbio.0020080",03/16/04,2004,"PLoS Biology","non RA","Neandertals Likely Kept Their Genes to Themselves",0,0,0
"10.1371/journal.pbio.0020081",04/13/04,2004,"PLoS Biology","RA","Segmentally Variable Genes:A New Perspective on Adaptation",0,2,5
"10.1371/journal.pbio.0020082",03/16/04,2004,"PLoS Biology","non RA","mRNA Targets of RNA-Binding Proteins Suggest an Extensive System for Post-Transcriptional Regulation",0,0,0
"10.1371/journal.pbio.0020083",03/16/04,2004,"PLoS Biology","non RA","Tracking Blood-Forming Stem Cells through Development",0,0,0
"10.1371/journal.pbio.0020084",03/16/04,2004,"PLoS Biology","non RA","Conserved Genes Preferentially Duplicated in Evolution",0,0,0
"10.1371/journal.pbio.0020085",03/16/04,2004,"PLoS Biology","non RA","A Holistic Approach to Evaluating Cellular Communication Pathways",1,0,0
"10.1371/journal.pbio.0020086",03/23/04,2004,"PLoS Biology","RA","Dissection and Design of Yeast Prions",14,18,49
"10.1371/journal.pbio.0020087",03/16/04,2004,"PLoS Biology","non RA","A Mechanism for Amphetamine-Induced Dopamine Overload",0,0,0
"10.1371/journal.pbio.0020088",03/16/04,2004,"PLoS Biology","non RA","Microstimulation of Neurons Distinguishes Neural Contribution to Perception",0,0,0
"10.1371/journal.pbio.0020089",03/16/04,2004,"PLoS Biology","RA","Corrections: The Roles of APC and Axin Derived from Experimental and Theoretical Analysis of the Wnt Pathway",1,0,0
"10.1371/journal.pbio.0020090",04/13/04,2004,"PLoS Biology","RA","Mimotopes for Alloreactive and Conventional T Cells in a Peptide?MHC Display Library",7,3,20
"10.1371/journal.pbio.0020091",04/13/04,2004,"PLoS Biology","RA","Activation of Arp2/3 Complex: Addition of the First Subunit of the New Filament by a WASP Protein Triggers Rapid ATP Hydrolysis on Arp2",10,9,21
"10.1371/journal.pbio.0020092",05/11/04,2004,"PLoS Biology","RA","Neural Induction in Xenopus: Requirement for Ectodermal and Endomesodermal Signals via Chordin, Noggin, ?-Catenin, and Cerberus",15,7,51
"10.1371/journal.pbio.0020093",03/23/04,2004,"PLoS Biology","non RA","Artificial Prions Created from Portable Control Elements",0,0,0
"10.1371/journal.pbio.0020094",04/13/04,2004,"PLoS Biology","non RA","?Mosaic? Genes Highlight Forces of Genome Diversity and Adaptation",0,0,0
"10.1371/journal.pbio.0020095",02/10/04,2004,"PLoS Biology","RA","A Nuclear Function for Armadillo/?-Catenin",7,11,35
"10.1371/journal.pbio.0020096",04/13/04,2004,"PLoS Biology","RA","Calcium Dynamics of Cortical Astrocytic Networks In Vivo",23,7,78
"10.1371/journal.pbio.0020097",04/13/04,2004,"PLoS Biology","RA","Neural Activity When People Solve Verbal Problems with Insight",19,1,80
