"Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Citations - CrossRef","Citations - PubMed Central","Citations - Scopus","Total Citations","Days Old","Citations Per Day"
10/27/03,2003,"PLoS Biology","RA","Pten Dose Dictates Cancer Progression in the Prostate",51,21,134,206,"2184.47",0.09
12/22/03,2003,"PLoS Biology","RA","Inhibition of HIF2? Is Sufficient to Suppress pVHL-Defective Tumor Growth",40,26,132,198,"2128.47",0.09
04/04/06,2006,"PLoS Biology","RA","Purified Wnt5a Protein Activates or Inhibits ?-Catenin?TCF Signaling Depending on Receptor Context",64,35,91,190,"1294.47",0.15
04/20/07,2007,"PLoS Genetics","RA","Novel Crohn Disease Locus Identified by Genome-Wide Association Maps to a Gene Desert on 5p13.1 and Modulates Expression of PTGER4",101,24,63,188,"913.47",0.21
11/09/04,2004,"PLoS Biology","RA","Use of a Dense Single Nucleotide Polymorphism Map for In Silico Mapping in the Mouse",38,36,114,188,"1805.47",0.1
11/17/03,2003,"PLoS Biology","RA","Viral Discovery and Sequence Recovery Using DNA Microarrays",36,40,111,187,"2163.47",0.09
11/23/04,2004,"PLoS Biology","RA","DNA Methylation Profiling of the Human Major Histocompatibility Complex: A Pilot Study for the Human Epigenome Project",47,23,117,187,"1791.47",0.1
07/20/04,2004,"PLoS Biology","RA","Ancient Adaptive Evolution of the Primate Antiviral DNA-Editing Enzyme APOBEC3G",36,43,107,186,"1917.47",0.1
02/14/07,2007,"PLoS ONE","RA","High-Throughput Sequencing of Arabidopsis microRNAs: Evidence for Frequent Birth and Death of MIRNA Genes",39,56,91,186,"978.47",0.19
10/05/04,2004,"PLoS Biology","RA","Parallel Chemical Genetic and Genome-Wide RNAi Screens Identify Cytokinesis Inhibitors and Targets",35,34,116,185,"1840.47",0.1
11/02/04,2004,"PLoS Biology","RA","BMAL1 and CLOCK, Two Essential Components of the Circadian Clock, Are Involved in Glucose Homeostasis",43,21,119,183,"1812.47",0.1
11/23/04,2004,"PLoS Biology","RA","Distinct Genomic Integration of MLV and SIV Vectors in Primate Hematopoietic Stem and Progenitor Cells",44,41,95,180,"1791.47",0.1
10/13/03,2003,"PLoS Biology","RA","Candidate Gene Association Study in Type 2 Diabetes Indicates a Role for Genes Involved in ?-Cell Function as Well as Insulin Action",45,15,119,179,"2198.47",0.08
04/19/05,2005,"PLoS Biology","RA","A New Yeast Poly(A) Polymerase Complex Involved in RNA Quality Control",35,63,80,178,"1644.47",0.11
10/04/05,2005,"PLoS Medicine","RA","Oncogenic Transformation by Inhibitor-Sensitive and -Resistant EGFR Mutants",56,19,103,178,"1476.47",0.12
10/13/03,2003,"PLoS Biology","RA","The Roles of APC and Axin Derived from Experimental and Theoretical Analysis of the Wnt Pathway",30,25,121,176,"2198.47",0.08
11/09/04,2004,"PLoS Biology","RA","Widespread A-to-I RNA Editing of Alu-Containing mRNAs in the Human Transcriptome",25,42,108,175,"1805.47",0.1
05/11/04,2004,"PLoS Biology","RA","A Neutral Model of Transcriptome Evolution",36,33,104,173,"1987.47",0.09
09/21/04,2004,"PLoS Biology","RA","Textpresso: An Ontology-Based Information Retrieval and Extraction System for Biological Literature",24,52,97,173,"1854.47",0.09
07/12/05,2005,"PLoS Biology","non RA","Evolution at Two Levels: On Genes and Form",42,43,83,168,"1560.47",0.11
11/17/03,2003,"PLoS Biology","RA","Biochemical Characterization of DNA Damage Checkpoint Complexes: Clamp Loader and Clamp Complexes with Specificity for 5? Recessed DNA",23,32,111,166,"2163.47",0.08
06/29/04,2004,"PLoS Biology","RA","Genomic Analysis of Mouse Retinal Development",24,43,99,166,"1938.47",0.09
05/11/04,2004,"PLoS Biology","RA","Many Ribosomal Protein Genes Are Cancer Genes in Zebrafish",35,26,103,164,"1987.47",0.08
04/26/05,2005,"PLoS Biology","RA","Three-Dimensional Maps of All Chromosomes in Human Male Fibroblast Nuclei and Prometaphase Rosettes",58,21,83,162,"1637.47",0.1
10/05/04,2004,"PLoS Biology","RA","DJ-1 Is a Redox-Dependent Molecular Chaperone That Inhibits ?-Synuclein Aggregate Formation",41,13,108,162,"1840.47",0.09
11/30/04,2004,"PLoS Medicine","RA","An Inflammatory Cascade Leading to Hyperresistinemia in Humans",44,10,108,162,"1784.47",0.09
08/17/04,2004,"PLoS Biology","RA","The Telomeric Protein TRF2 Binds the ATM Kinase and Can Inhibit the ATM-Dependent DNA Damage Response",35,25,100,160,"1889.47",0.08
11/03/03,2003,"PLoS Biology","RA","Linkage of Osteoporosis to Chromosome 20p12 and Association to BMP2",49,12,99,160,"2177.47",0.07
11/07/06,2006,"PLoS Biology","RA","The Marine Viromes of Four Oceanic Regions",49,32,79,160,"1077.47",0.15
12/15/03,2003,"PLoS Biology","RA","Similarities and Differences in Genome-Wide Expression Data of Six Organisms",22,43,93,158,"2135.47",0.07
05/31/05,2005,"PLoS Medicine","RA","A Systematic Review of the Prevalence of Schizophrenia",43,15,99,157,"1602.47",0.1
03/29/05,2005,"PLoS Biology","RA","The Wolbachia Genome of Brugia malayi: Endosymbiont Evolution within a Human Pathogenic Nematode",44,33,79,156,"1665.47",0.09
05/24/05,2005,"PLoS Biology","RA","Processing of Pre-microRNAs by the Dicer-1?Loquacious Complex in Drosophila Cells",42,29,84,155,"1609.47",0.1
09/28/04,2004,"PLoS Biology","RA","Gene Recruitment of the Activated INO1 Locus to the Nuclear Membrane",37,28,89,154,"1847.47",0.08
04/25/06,2006,"PLoS Biology","RA","Intermingling of Chromosome Territories in Interphase Suggests Role in Translocations and Transcription-Dependent Associations",40,28,86,154,"1273.47",0.12
08/24/04,2004,"PLoS Biology","RA","Interdependency of Brassinosteroid and Auxin Signaling in Arabidopsis",44,19,89,152,"1882.47",0.08
04/21/06,2006,"PLoS Computational Biology","RA","Identification and Classification of Conserved RNA Secondary Structures in the Human Genome",32,58,61,151,"1277.47",0.12
12/07/04,2004,"PLoS Biology","RA","Algorithmic Self-Assembly of DNA Sierpinski Triangles",50,2,97,149,"1777.47",0.08
01/20/04,2004,"PLoS Biology","RA","Loss of Olfactory Receptor Genes Coincides with the Acquisition of Full Trichromatic Vision in Primates",41,21,86,148,"2099.47",0.07
03/16/04,2004,"PLoS Biology","RA","No Evidence of Neandertal mtDNA Contribution to Early Modern Humans",44,15,87,146,"2043.47",0.07
07/13/04,2004,"PLoS Biology","RA","A Chromosomal Memory Triggered by Xist Regulates Histone Methylation in X Inactivation",38,21,85,144,"1924.47",0.07
04/27/04,2004,"PLoS Biology","RA","Noise Minimization in Eukaryotic Gene Expression",31,30,82,143,"2001.47",0.07
11/01/05,2005,"PLoS Biology","RA","Variant Histone H2A.Z Is Globally Localized to the Promoters of Inactive Yeast Genes and Regulates Nucleosome Positioning",23,34,85,142,"1448.47",0.1
07/13/04,2004,"PLoS Biology","RA","Lineage-Specific Gene Duplication and Loss in Human and Great Ape Evolution",37,26,77,140,"1924.47",0.07
05/04/07,2007,"PLoS Pathogens","RA","Identification of a Novel Polyomavirus from Patients with Acute Respiratory Tract Infections",24,26,90,140,"899.47",0.16
11/30/04,2004,"PLoS Biology","RA","Replication of Norovirus in Cell Culture Reveals a Tropism for Dendritic Cells and Macrophages",10,35,93,138,"1784.47",0.08
02/17/04,2004,"PLoS Biology","RA","Immune Activation and CD8+ T-Cell Differentiation towards Senescence in HIV-1 Infection",27,20,91,138,"2071.47",0.07
11/29/05,2005,"PLoS Biology","RA","DNA Barcoding: Error Rates Based on Comprehensive Sampling",28,12,98,138,"1420.47",0.1
04/13/04,2004,"PLoS Biology","RA","Semi-Supervised Methods to Predict Patient Survival from Gene Expression Data",23,21,93,137,"2015.47",0.07
08/24/04,2004,"PLoS Biology","RA","Sir2-Independent Life Span Extension by Calorie Restriction in Yeast",29,14,93,136,"1882.47",0.07
12/27/05,2005,"PLoS Biology","RA","Sirt1 Regulates Insulin Secretion by Repressing UCP2 in Pancreatic ? Cells",44,21,71,136,"1392.47",0.1
01/09/07,2007,"PLoS Biology","RA","Large-Scale Mapping and Validation of Escherichia coli Transcriptional Regulation from a Compendium of Expression Profiles",38,43,55,136,"1014.47",0.13
12/16/05,2005,"PLoS Genetics","RA","Genome-Wide Associations of Gene Expression Variation in Humans",55,62,18,135,"1403.47",0.1
04/26/05,2005,"PLoS Biology","RA","Subversion of Cellular Autophagosomal Machinery by RNA Viruses",32,26,77,135,"1637.47",0.08
01/24/06,2006,"PLoS Medicine","RA","Gene Expression Programs in Response to Hypoxia: Cell Type Specificity and Prognostic Significance in Human Cancers",35,24,76,135,"1364.47",0.1
09/21/04,2004,"PLoS Biology","RA","Mechanism of Prion Propagation: Amyloid Growth Occurs by Monomer Addition",31,20,83,134,"1854.47",0.07
11/02/04,2004,"PLoS Biology","RA","Components of Coated Vesicles and Nuclear Pore Complexes Share a Common Molecular Architecture",33,20,80,133,"1812.47",0.07
03/30/04,2004,"PLoS Biology","RA","The Genetic Architecture of Parallel Armor Plate Reduction in Threespine Sticklebacks",44,9,80,133,"2029.47",0.07
06/22/04,2004,"PLoS Biology","RA","Functional Dissection of an Innate Immune Response by a Genome-Wide RNAi Screen",27,29,76,132,"1945.47",0.07
06/13/06,2006,"PLoS Biology","RA","Translation Repression in Human Cells by MicroRNA-Induced Gene Silencing Requires RCK/p54",32,27,73,132,"1224.47",0.11
04/05/05,2005,"PLoS Biology","RA","Evolutionary Origins of Genomic Repertoires in Bacteria",30,41,61,132,"1658.47",0.08
03/17/06,2006,"PLoS Pathogens","RA","Flagellin-Deficient Legionella Mutants Evade Caspase-1- and Naip5-Mediated Macrophage Immunity",49,29,53,131,"1312.47",0.1
08/31/04,2004,"PLoS Biology","RA","Transcriptional Control in the Segmentation Gene Network of Drosophila",24,32,75,131,"1875.47",0.07
01/25/05,2005,"PLoS Biology","RA","Evidence for Widespread Degradation of Gene Control Regions in Hominid Genomes",36,35,59,130,"1728.47",0.08
12/22/03,2003,"PLoS Biology","RA","Transcriptome Analysis of Mouse Stem Cells and Early Embryos",23,23,84,130,"2128.47",0.06
08/31/04,2004,"PLoS Biology","RA","Single Nucleotide Polymorphism?Based Validation of Exonic Splicing Enhancers",26,32,72,130,"1875.47",0.07
09/15/03,2003,"PLoS Biology","RA","Drosophila Free-Running Rhythms Require Intercellular Communication",24,24,81,129,"2226.47",0.06
03/31/06,2006,"PLoS Pathogens","RA","Identification of a Novel Gammaretrovirus in Prostate Tumors of Patients Homozygous for R462Q RNASEL Variant",33,25,71,129,"1298.47",0.1
01/17/06,2006,"PLoS Biology","RA","Atypical Membrane Topology and Heteromeric Function of Drosophila Odorant Receptors In Vivo",36,27,65,128,"1371.47",0.09
06/15/04,2004,"PLoS Biology","RA","Functional Fluorescent Ca2+ Indicator Proteins in Transgenic Mice under TET Control",24,17,87,128,"1952.47",0.07
10/19/04,2004,"PLoS Biology","RA","Serial Block-Face Scanning Electron Microscopy to Reconstruct Three-Dimensional Tissue Nanostructure",29,22,77,128,"1826.47",0.07
08/09/05,2005,"PLoS Biology","RA","Genomic Islands of Speciation in Anopheles gambiae",33,28,67,128,"1532.47",0.08
02/26/08,2008,"PLoS Medicine","RA","Initial Severity and Antidepressant Benefits: A Meta-Analysis of Data Submitted to the Food and Drug Administration",55,15,56,126,"601.47",0.21
03/21/06,2006,"PLoS Biology","RA","Pathways of Carbon Assimilation and Ammonia Oxidation Suggested by Environmental Genomic Analyses of Marine Crenarchaeota",56,21,48,125,"1308.47",0.1
11/06/07,2007,"PLoS Biology","RA","Population Genomics: Whole-Genome Analysis of Polymorphism and Divergence in Drosophila simulans",31,38,55,124,"713.47",0.17
08/29/06,2006,"PLoS Biology","RA","Macronuclear Genome Sequence of the Ciliate Tetrahymena thermophila, a Model Eukaryote",33,36,54,123,"1147.47",0.11
10/05/04,2004,"PLoS Biology","RA","Sensitivity to Oxidative Stress in DJ-1-Deficient Dopamine Neurons: An ES- Derived Cell Model of Primary Parkinsonism",41,14,68,123,"1840.47",0.07
07/05/05,2005,"PLoS Biology","RA","The Genome Sequence of Rickettsia felis Identifies the First Putative Conjugative Plasmid in an Obligate Intracellular Parasite",19,33,71,123,"1567.47",0.08
03/01/05,2005,"PLoS Biology","RA","Shugoshin Prevents Dissociation of Cohesin from Centromeres During Mitosis in Vertebrate Cells",32,27,63,122,"1693.47",0.07
03/15/05,2005,"PLoS Biology","non RA","The Immune Epitope Database and Analysis Resource: From Vision to Blueprint",31,42,48,121,"1679.47",0.07
05/03/05,2005,"PLoS Biology","RA","Antigen-Engaged B Cells Undergo Chemotaxis toward the T Zone and Form Motile Conjugates with Helper T Cells",47,17,56,120,"1630.47",0.07
06/15/04,2004,"PLoS Biology","RA","Integrative Analysis of the Mitochondrial Proteome in Yeast",23,20,76,119,"1952.47",0.06
03/01/05,2005,"PLoS Biology","RA","Dissociation of Cohesin from Chromosome Arms and Loss of Arm Cohesion during Early Mitosis Depends on Phosphorylation of SA2",30,24,63,117,"1693.47",0.07
07/26/05,2005,"PLoS Biology","RA","Multiple Locus Linkage Analysis of Genomewide Expression in Yeast",30,24,62,116,"1546.47",0.08
09/21/04,2004,"PLoS Biology","RA","The Program of Gene Transcription for a Single Differentiating Cell Type during Sporulation in Bacillus subtilis",24,24,65,113,"1854.47",0.06
03/14/06,2006,"PLoS Biology","RA","Retroposed Elements as Archives for the Evolutionary History of Placental Mammals",26,30,57,113,"1315.47",0.09
09/28/04,2004,"PLoS Biology","RA","Molecular Signatures of Proliferation and Quiescence in Hematopoietic Stem Cells",28,15,70,113,"1847.47",0.06
12/22/06,2006,"PLoS Genetics","RA","Population Structure and Eigenanalysis",54,32,25,111,"1032.47",0.11
12/30/05,2005,"PLoS Genetics","non RA","Genomic Disorders: Molecular Mechanisms for Rearrangements and Conveyed Phenotypes",60,38,13,111,"1389.47",0.08
05/24/05,2005,"PLoS Biology","RA","RAG1 Core and V(D)J Recombination Signal Sequences Were Derived from Transib Transposons",28,22,61,111,"1609.47",0.07
05/16/06,2006,"PLoS Biology","RA","Citation Advantage of Open Access Articles",23,28,59,110,"1252.47",0.09
03/24/06,2006,"PLoS Pathogens","RA","Epsteinâ€“Barr Virus MicroRNAs Are Evolutionarily Conserved and Differentially Expressed",34,28,48,110,"1305.47",0.08
05/24/05,2005,"PLoS Biology","RA","On the Number of New World Founders: A Population Genetic Portrait of the Peopling of the Americas",40,17,52,109,"1609.47",0.07
09/12/06,2006,"PLoS Biology","RA","Stochastic mRNA Synthesis in Mammalian Cells",35,22,52,109,"1133.47",0.1
01/20/04,2004,"PLoS Biology","RA","Protein Interaction Networks by Proteome Peptide Scanning",27,19,62,108,"2099.47",0.05
04/13/04,2004,"PLoS Biology","RA","Calcium Dynamics of Cortical Astrocytic Networks In Vivo",23,7,78,108,"2015.47",0.05
01/04/05,2005,"PLoS Biology","RA","A Model of the Statistical Power of Comparative Genome Sequence Analysis",22,30,53,105,"1749.47",0.06
01/04/05,2005,"PLoS Biology","RA","Sorghum Genome Sequencing by Methylation Filtration",21,18,66,105,"1749.47",0.06
03/15/05,2005,"PLoS Biology","RA","Functional Evolution of a cis-Regulatory Module",24,29,51,104,"1679.47",0.06
12/19/07,2007,"PLoS ONE","RA","A High Quality Draft Consensus Sequence of the Genome of a Heterozygous Grapevine Variety",26,22,56,104,"670.47",0.16
11/29/05,2005,"PLoS Biology","RA","Functional Amyloid Formation within Mammalian Tissue",31,19,53,103,"1420.47",0.07
11/17/03,2003,"PLoS Biology","non RA","Comparative Genomics",13,21,69,103,"2163.47",0.05
10/19/04,2004,"PLoS Medicine","RA","An Immune Basis for Lung Parenchymal Destruction in Chronic Obstructive Pulmonary Disease and Emphysema",15,26,62,103,"1826.47",0.06
11/09/04,2004,"PLoS Biology","RA","Conservation and Evolution of Cis-Regulatory Systems in Ascomycete Fungi",21,25,57,103,"1805.47",0.06
01/20/04,2004,"PLoS Biology","RA","Cell-Passage Activity Is Required for the Malarial Parasite to Cross the Liver Sinusoidal Cell Layer",23,13,67,103,"2099.47",0.05
07/13/04,2004,"PLoS Biology","non RA","Gene Duplication: The Genomic Trade in Spare Parts",28,14,61,103,"1924.47",0.05
09/21/04,2004,"PLoS Biology","RA","Genomic Insights into Methanotrophy: The Complete Genome Sequence of Methylococcus capsulatus (Bath)",23,17,63,103,"1854.47",0.06
05/26/06,2006,"PLoS Pathogens","RA","The Malarial Host-Targeting Signal Is Conserved in the Irish Potato Famine Pathogen",31,15,56,102,"1242.47",0.08
08/16/05,2005,"PLoS Medicine","RA","Decreased Insulin-Stimulated ATP Synthesis and Phosphate Transport in Muscle of Insulin-Resistant Offspring of Type 2 Diabetic Parents",31,12,59,102,"1525.47",0.07
03/15/05,2005,"PLoS Biology","RA","PGC-1? Deficiency Causes Multi-System Energy Metabolic Derangements: Muscle Dysfunction, Abnormal Weight Control and Hepatic Steatosis",36,24,41,101,"1679.47",0.06
12/28/04,2004,"PLoS Medicine","RA","Cancer as a Complex Phenotype: Pattern of Cancer Distribution within and beyond the Nuclear Family",34,5,61,100,"1756.47",0.06
04/13/04,2004,"PLoS Biology","RA","Neural Activity When People Solve Verbal Problems with Insight",19,1,80,100,"2015.47",0.05
03/23/04,2004,"PLoS Biology","RA","Accelerated Evolution of the ASPM Gene Controlling Brain Size Begins Prior to Human Brain Expansion",26,8,66,100,"2036.47",0.05
02/15/05,2005,"PLoS Medicine","RA","A Space?Time Permutation Scan Statistic for Disease Outbreak Detection",24,15,60,99,"1707.47",0.06
10/11/05,2005,"PLoS Medicine","non RA","?Rapid-Impact Interventions?: How a Policy of Integrated Control for Africa's Neglected Tropical Diseases Could Benefit the Poor",14,30,55,99,"1469.47",0.07
05/17/05,2005,"PLoS Medicine","non RA","Medical Journals Are an Extension of the Marketing Arm of Pharmaceutical Companies",28,24,47,99,"1616.47",0.06
10/03/06,2006,"PLoS Medicine","RA","Combining Information from Common Type 2 Diabetes Risk Polymorphisms Improves Disease Prediction",37,14,47,98,"1112.47",0.09
05/24/05,2005,"PLoS Biology","RA","Intravital Observation of Plasmodium berghei Sporozoite Infection of the Liver",33,17,47,97,"1609.47",0.06
11/15/05,2005,"PLoS Biology","RA","Ancient and Recent Positive Selection Transformed Opioid cis-Regulation in Humans",33,20,44,97,"1434.47",0.07
12/20/05,2005,"PLoS Biology","RA","Conserved and Variable Functions of the ?E Stress Response in Related Genomes",36,35,26,97,"1399.47",0.07
06/15/04,2004,"PLoS Biology","RA","Absence of the TAP2 Human Recombination Hotspot in Chimpanzees",24,10,63,97,"1952.47",0.05
12/21/04,2004,"PLoS Biology","RA","A Gradual Process of Recombination Restriction in the Evolutionary History of the Sex Chromosomes in Dioecious Plants",28,12,56,96,"1763.47",0.05
10/26/04,2004,"PLoS Biology","RA","Motifs in Brain Networks",20,15,61,96,"1819.47",0.05
08/17/04,2004,"PLoS Biology","RA","Nicotine's Defensive Function in Nature",29,3,64,96,"1889.47",0.05
03/29/05,2005,"PLoS Medicine","RA","Noninvasive Visualization of the Activated ?v?3 Integrin in Cancer Patients by Positron Emission Tomography and [18F]Galacto-RGD",26,11,59,96,"1665.47",0.06
01/11/05,2005,"PLoS Biology","RA","Neuronal Encoding of Texture in the Whisker Sensory Pathway",19,7,70,96,"1742.47",0.06
07/11/06,2006,"PLoS Medicine","RA","The Potential Impact of Male Circumcision on HIV in Sub-Saharan Africa",28,19,49,96,"1196.47",0.08
11/03/03,2003,"PLoS Biology","RA","GAD2 on Chromosome 10p12 Is a Candidate Gene for Human Obesity",24,7,65,96,"2177.47",0.04
11/15/05,2005,"PLoS Biology","RA","Systematic Discovery of New Recognition Peptides Mediating Protein Interaction Networks",12,30,53,95,"1434.47",0.07
05/11/04,2004,"PLoS Biology","RA","Mre11 Assembles Linear DNA Fragments into DNA Damage Signaling Complexes",24,16,55,95,"1987.47",0.05
04/19/05,2005,"PLoS Biology","RA","Three Prochlorococcus Cyanophage Genomes: Signature Features and Ecological Interpretations",32,21,42,95,"1644.47",0.06
01/20/06,2006,"PLoS Computational Biology","RA","Unusual Intron Conservation near Tissue-Regulated Exons Found by Splicing Microarrays",17,31,47,95,"1368.47",0.07
01/31/06,2006,"PLoS Medicine","non RA","Incorporating a Rapid-Impact Package for Neglected Tropical Diseases with Programs for HIV/AIDS, Tuberculosis, and Malaria",26,52,16,94,"1357.47",0.07
12/22/03,2003,"PLoS Biology","RA","Architecture and Selectivity in Aquaporins: 2.5 ? X-Ray Structure of Aquaporin Z",17,13,64,94,"2128.47",0.04
03/01/05,2005,"PLoS Biology","RA","Highly Nonrandom Features of Synaptic Connectivity in Local Cortical Circuits",30,12,52,94,"1693.47",0.06
01/20/04,2004,"PLoS Biology","RA","Long-Lasting Novelty-Induced Neuronal Reverberation during Slow-Wave Sleep in Multiple Forebrain Areas",16,9,69,94,"2099.47",0.04
05/10/05,2005,"PLoS Biology","RA","Determination of Stromal Signatures in Breast Carcinoma",24,15,54,93,"1623.47",0.06
